1000PEPEUSDT|cryptoorderflow|short|INITIAL_SL|us_main|na|7|0.000|-0.629|-22.0092|2.77|0.27|0.93|461669
ETHUSDT|orderflow|short|INITIAL_SL|overnight|trending_bear|11|0.000|-1.253|-21.8522|3.82|0.05|1.34|1515358
SOLUSDT|orderflow|short|TIMEOUT|asian|na|40|0.325|-0.104|-20.7716|2.81|1.18|1.18|3574773
BTCUSDT|cryptoorderflow|short|TIMEOUT|overnight|na|56|0.411|-0.076|-20.6109|3.16|0.02|0.65|3313867
BTCUSDT|orderflow|long|TIMEOUT|unknown|na|48|0.250|-0.075|-20.3442|5.06|0.01||3495609
BTCUSDT|cryptoorderflow|short|INITIAL_SL|asian|na|10|0.000|-1.186|-17.9723|2.84|0.01|0.67|973677
ETHUSDT|orderflow|long|INITIAL_SL|overnight|trending_bull|9|0.000|-1.258|-17.7925|2.98|0.05|1.39|1370655
ETHUSDT|orderflow|short|TIMEOUT|asian|na|68|0.353|-0.050|-16.9391|2.98|0.05|1.43|3612458
BTCUSDT|orderflow|long|INITIAL_SL|asian|trending_bear|9|0.000|-1.229|-16.9119|3.14|0.01|0.65|1534746
1000PEPEUSDT|cryptoorderflow|long|TIMEOUT|us_main|na|10|0.100|-0.338|-16.8901|4.44|0.27|0.71|3527799
SOLUSDT|orderflow|short|INITIAL_SL|european|na|3|0.000|-1.100|-16.5069|4.00|1.19|1.59|2075071
1000PEPEUSDT|orderflow|long|INITIAL_SL|asian|na|3|0.000|-1.100|-16.4931|4.36|0.27|0.84|3073372
BTCUSDT|cryptoorderflow|short|TIMEOUT|us_main|na|26|0.231|-0.126|-16.3880|3.15|0.01|0.68|3572330
BTCUSDT|orderflow|short|INITIAL_SL|asian|range|12|0.000|-1.096|-16.0572|3.50|0.01|1.16|720319
1000PEPEUSDT|cryptoorderflow|long|TIMEOUT|european|na|14|0.214|-0.223|-15.6210|3.80|0.29|1.17|3611520
SOLUSDT|orderflow|long|TIMEOUT|overnight|na|17|0.353|-0.179|-15.2571|2.77|1.17|1.26|3374721
BTCUSDT|cryptoorderflow|short|TIMEOUT|unknown|na|10|0.000|-0.295|-14.6632|9.59|||3615887
SOLUSDT|cryptoorderflow|short|TIMEOUT|unknown|na|8|0.000|-0.368|-14.6430|17.00|||3596674
BTCUSDT|orderflow|long|INITIAL_SL|overnight|trending_bull|10|0.000|-1.079|-14.5831|3.26|0.01|0.42|1545055
SOLUSDT|cryptoorderflow|long|INITIAL_SL|asian|na|8|0.000|-1.049|-14.1377|2.98|1.17|1.46|1565049
ETHUSDT|orderflow|short|INITIAL_SL|overnight|trending_bull|6|0.000|-1.259|-14.1294|3.20|0.05|1.75|174090
SOLUSDT|cryptoorderflow|long|TIMEOUT|european|na|14|0.071|-0.255|-14.0742|3.84|1.17|1.06|3561339
ETHUSDT|cryptoorderflow|short|INITIAL_SL|us_main|na|36|0.000|-0.144|-13.9838|3.56|0.05|1.41|677476
ETHUSDT|orderflow|long|INITIAL_SL|asian|range|5|0.000|-1.219|-13.8159|3.84|0.05|1.43|1365613
SOLUSDT|cryptoorderflow|long|TIMEOUT|asian|na|15|0.400|-0.196|-12.8898|5.87|1.18|1.24|3613395
ETHUSDT|orderflow|long|INITIAL_SL|asian|trending_bear|5|0.000|-1.247|-12.2750|3.93|0.05|1.78|1549397
BTCUSDT|orderflow|long|INITIAL_SL|overnight|range|8|0.000|-1.118|-11.4835|2.75|0.01|0.72|1831338
ETHUSDT|orderflow|long|TIMEOUT|us_main|range|5|0.000|-0.617|-11.3555|4.21|0.05|1.71|3613580
BTCUSDT|cryptoorderflow|short|INITIAL_SL|overnight|na|7|0.000|-1.065|-11.1896|2.95|0.01|0.61|984305
1000PEPEUSDT|cryptoorderflow|short|TIMEOUT|unknown|na|6|0.000|-0.369|-11.0639|13.23|||3612945
ETHUSDT|orderflow|short|INITIAL_SL|us_main|na|2|0.000|-1.100|-11.0046|3.42|0.05|1.49|691873
1000PEPEUSDT|cryptoorderflow|short|INITIAL_SL|overnight|na|7|0.000|-0.314|-11.0046|3.96|0.27|0.74|1355426
